window_start,1-0,1-1,2-0,3-0,3-1
2016-09-19 22:00:00,4,21,21,22,16
2016-09-19 22:20:00,9,24,12,24,13
2016-09-19 22:40:00,3,23,24,12,21
2016-09-19 23:00:00,1,16,16,6,7
2016-09-19 23:20:00,7,10,6,11,11
2016-09-19 23:40:00,6,13,12,22,16
2016-09-20 00:00:00,14,139,0,17,231
2016-09-20 00:20:00,13,80,2,13,148
2016-09-20 00:40:00,7,37,2,17,92
2016-09-20 01:00:00,6,6,0,15,9
2016-09-20 01:20:00,5,8,1,14,10
2016-09-20 01:40:00,5,11,0,18,5
2016-09-20 02:00:00,6,8,0,12,4
2016-09-20 02:20:00,9,12,0,17,4
2016-09-20 02:40:00,7,8,0,13,8
2016-09-20 03:00:00,10,2,0,7,6
2016-09-20 03:20:00,8,13,0,8,3
2016-09-20 03:40:00,5,18,0,11,6
2016-09-20 04:00:00,11,20,0,10,6
2016-09-20 04:20:00,8,17,0,9,6
2016-09-20 04:40:00,15,20,0,11,4
2016-09-20 05:00:00,9,27,5,12,12
2016-09-20 05:20:00,4,37,18,17,12
2016-09-20 05:40:00,10,35,21,20,18
2016-09-20 06:00:00,13,47,33,31,24
2016-09-20 06:20:00,20,59,31,43,43
2016-09-20 06:40:00,29,69,54,80,66
2016-09-20 07:00:00,38,88,79,113,83
2016-09-20 07:20:00,30,126,86,141,97
2016-09-20 07:40:00,31,139,93,136,122
2016-09-20 08:00:00,53,132,112,145,154
2016-09-20 08:20:00,50,151,111,173,209
2016-09-20 08:40:00,45,131,112,154,210
2016-09-20 09:00:00,51,150,105,144,191
2016-09-20 09:20:00,68,142,99,142,222
2016-09-20 09:40:00,59,173,87,144,174
2016-09-20 10:00:00,56,96,85,123,81
2016-09-20 10:20:00,60,92,76,137,97
2016-09-20 10:40:00,63,92,80,114,77
2016-09-20 11:00:00,57,90,63,120,79
2016-09-20 11:20:00,64,98,46,102,82
2016-09-20 11:40:00,50,87,55,111,83
2016-09-20 12:00:00,53,86,73,101,109
2016-09-20 12:20:00,62,82,88,122,78
2016-09-20 12:40:00,75,70,80,133,92
2016-09-20 13:00:00,98,99,75,130,94
2016-09-20 13:20:00,82,95,96,143,88
2016-09-20 13:40:00,84,103,69,136,99
2016-09-20 14:00:00,81,105,81,131,99
2016-09-20 14:20:00,90,94,72,141,81
2016-09-20 14:40:00,67,99,70,122,89
2016-09-20 15:00:00,71,78,62,124,80
2016-09-20 15:20:00,64,79,69,132,73
2016-09-20 15:40:00,73,71,69,131,87
2016-09-20 16:00:00,48,95,82,122,85
2016-09-20 16:20:00,57,96,76,113,97
2016-09-20 16:40:00,48,95,64,122,96
2016-09-20 17:00:00,38,111,82,126,84
2016-09-20 17:20:00,42,110,86,116,86
2016-09-20 17:40:00,38,133,85,95,106
2016-09-20 18:00:00,26,78,77,81,90
2016-09-20 18:20:00,29,60,60,100,84
2016-09-20 18:40:00,20,53,56,63,88
2016-09-20 19:00:00,17,44,61,59,53
2016-09-20 19:20:00,29,52,27,52,52
2016-09-20 19:40:00,21,49,40,48,50
2016-09-20 20:00:00,12,34,35,62,62
2016-09-20 20:20:00,16,42,31,55,48
2016-09-20 20:40:00,16,37,30,45,49
2016-09-20 21:00:00,17,41,27,47,29
2016-09-20 21:20:00,29,42,21,38,44
2016-09-20 21:40:00,37,39,5,32,38
2016-09-20 22:00:00,30,32,5,27,23
2016-09-20 22:20:00,17,30,6,22,33
2016-09-20 22:40:00,19,24,0,29,34
2016-09-20 23:00:00,20,12,5,13,10
2016-09-20 23:20:00,7,22,7,27,20
2016-09-20 23:40:00,11,14,5,23,13
2016-09-21 00:00:00,12,97,2,19,124
2016-09-21 00:20:00,6,64,2,17,116
2016-09-21 00:40:00,7,41,2,13,54
2016-09-21 01:00:00,7,9,0,17,7
2016-09-21 01:20:00,4,8,1,16,5
2016-09-21 01:40:00,6,13,1,17,7
2016-09-21 02:00:00,6,10,0,9,7
2016-09-21 02:20:00,10,7,0,12,7
2016-09-21 02:40:00,6,10,0,13,3
2016-09-21 03:00:00,5,12,0,14,4
2016-09-21 03:20:00,6,15,0,10,3
2016-09-21 03:40:00,10,19,0,11,6
2016-09-21 04:00:00,16,18,0,14,3
2016-09-21 04:20:00,14,18,0,12,3
2016-09-21 04:40:00,11,18,0,15,5
2016-09-21 05:00:00,10,31,1,16,6
2016-09-21 05:20:00,14,28,5,16,11
2016-09-21 05:40:00,28,30,6,25,11
2016-09-21 06:00:00,36,36,6,32,20
2016-09-21 06:20:00,41,50,9,47,42
2016-09-21 06:40:00,75,71,14,85,37
2016-09-21 07:00:00,78,77,42,116,66
2016-09-21 07:20:00,84,94,37,133,92
2016-09-21 07:40:00,95,99,44,151,89
2016-09-21 08:00:00,122,100,37,135,126
2016-09-21 08:20:00,126,105,30,163,122
2016-09-21 08:40:00,77,119,66,120,149
2016-09-21 09:00:00,49,137,104,139,131
2016-09-21 09:20:00,55,132,100,120,83
2016-09-21 09:40:00,53,122,80,130,78
2016-09-21 10:00:00,36,96,72,114,71
2016-09-21 10:20:00,57,98,67,115,87
2016-09-21 10:40:00,37,89,74,118,80
2016-09-21 11:00:00,32,77,45,76,70
2016-09-21 11:20:00,27,79,58,101,72
2016-09-21 11:40:00,32,78,50,97,82
2016-09-21 12:00:00,45,84,63,68,88
2016-09-21 12:20:00,42,96,42,79,85
2016-09-21 12:40:00,38,90,55,110,102
2016-09-21 13:00:00,44,87,82,99,100
2016-09-21 13:20:00,41,87,72,113,108
2016-09-21 13:40:00,51,105,62,95,99
2016-09-21 14:00:00,53,104,78,108,74
2016-09-21 14:20:00,43,93,79,93,98
2016-09-21 14:40:00,54,103,66,102,100
2016-09-21 15:00:00,48,98,63,113,98
2016-09-21 15:20:00,46,96,81,114,108
2016-09-21 15:40:00,49,90,77,89,99
2016-09-21 16:00:00,46,105,66,109,87
2016-09-21 16:20:00,45,97,81,118,88
2016-09-21 16:40:00,46,98,99,124,100
2016-09-21 17:00:00,47,94,88,118,77
2016-09-21 17:20:00,35,109,77,116,94
2016-09-21 17:40:00,20,94,83,100,95
2016-09-21 18:00:00,20,74,58,90,67
2016-09-21 18:20:00,20,85,72,72,75
2016-09-21 18:40:00,24,78,49,52,68
2016-09-21 19:00:00,19,46,47,64,60
2016-09-21 19:20:00,19,40,35,48,52
2016-09-21 19:40:00,25,49,38,65,39
2016-09-21 20:00:00,20,43,38,42,49
2016-09-21 20:20:00,15,47,18,40,40
2016-09-21 20:40:00,30,26,24,42,35
2016-09-21 21:00:00,13,29,27,42,41
2016-09-21 21:20:00,18,33,32,43,46
2016-09-21 21:40:00,11,28,26,35,30
2016-09-21 22:00:00,11,26,24,24,20
2016-09-21 22:20:00,8,23,21,33,15
2016-09-21 22:40:00,7,25,16,17,20
2016-09-21 23:00:00,19,13,7,23,21
2016-09-21 23:20:00,13,21,1,24,19
2016-09-21 23:40:00,16,14,1,18,10
2016-09-22 00:00:00,17,110,1,11,142
2016-09-22 00:20:00,5,74,1,13,106
2016-09-22 00:40:00,16,49,0,12,72
2016-09-22 01:00:00,6,6,0,16,5
2016-09-22 01:20:00,9,9,0,10,8
2016-09-22 01:40:00,12,10,0,13,5
2016-09-22 02:00:00,4,11,0,15,5
2016-09-22 02:20:00,8,8,0,8,5
2016-09-22 02:40:00,10,4,0,12,6
2016-09-22 03:00:00,7,9,0,16,5
2016-09-22 03:20:00,8,15,0,18,4
2016-09-22 03:40:00,6,13,0,12,2
2016-09-22 04:00:00,4,21,0,11,8
2016-09-22 04:20:00,10,12,0,16,5
2016-09-22 04:40:00,11,22,0,10,5
2016-09-22 05:00:00,5,27,18,16,14
2016-09-22 05:20:00,2,27,20,20,9
2016-09-22 05:40:00,3,39,21,24,10
2016-09-22 06:00:00,6,42,30,26,33
2016-09-22 06:20:00,10,61,31,33,37
2016-09-22 06:40:00,36,60,38,100,50
2016-09-22 07:00:00,28,79,72,122,63
2016-09-22 07:20:00,40,96,79,112,88
2016-09-22 07:40:00,34,100,100,134,93
2016-09-22 08:00:00,50,106,108,164,121
2016-09-22 08:20:00,58,98,110,160,127
2016-09-22 08:40:00,51,111,101,172,136
2016-09-22 09:00:00,43,123,96,151,116
2016-09-22 09:20:00,52,107,81,132,110
2016-09-22 09:40:00,59,110,65,101,96
2016-09-22 10:00:00,47,98,83,92,82
2016-09-22 10:20:00,49,106,48,112,91
2016-09-22 10:40:00,43,85,44,100,102
2016-09-22 11:00:00,27,76,60,87,64
2016-09-22 11:20:00,35,85,52,107,72
2016-09-22 11:40:00,49,84,45,91,62
2016-09-22 12:00:00,34,105,63,75,88
2016-09-22 12:20:00,43,91,61,91,107
2016-09-22 12:40:00,41,98,59,101,92
2016-09-22 13:00:00,46,96,59,106,78
2016-09-22 13:20:00,64,103,76,98,98
2016-09-22 13:40:00,41,120,75,102,115
2016-09-22 14:00:00,58,73,61,133,83
2016-09-22 14:20:00,41,90,68,104,78
2016-09-22 14:40:00,33,90,83,98,105
2016-09-22 15:00:00,61,90,62,100,94
2016-09-22 15:20:00,48,115,73,121,101
2016-09-22 15:40:00,57,89,71,120,76
2016-09-22 16:00:00,58,102,51,106,89
2016-09-22 16:20:00,52,104,93,132,87
2016-09-22 16:40:00,42,113,96,146,86
2016-09-22 17:00:00,29,114,71,131,78
2016-09-22 17:20:00,36,102,76,122,86
2016-09-22 17:40:00,33,113,70,117,78
2016-09-22 18:00:00,26,81,83,83,54
2016-09-22 18:20:00,21,83,63,86,53
2016-09-22 18:40:00,24,88,53,65,99
2016-09-22 19:00:00,30,41,39,47,57
2016-09-22 19:20:00,18,47,31,52,72
2016-09-22 19:40:00,33,43,29,39,44
2016-09-22 20:00:00,24,34,30,50,44
2016-09-22 20:20:00,18,22,45,42,39
2016-09-22 20:40:00,18,29,30,37,38
2016-09-22 21:00:00,17,29,18,41,32
2016-09-22 21:20:00,18,20,28,27,43
2016-09-22 21:40:00,20,24,16,32,36
2016-09-22 22:00:00,9,15,20,27,27
2016-09-22 22:20:00,7,26,13,23,15
2016-09-22 22:40:00,7,23,18,17,22
2016-09-22 23:00:00,2,18,12,13,13
2016-09-22 23:20:00,6,13,11,7,12
2016-09-22 23:40:00,5,13,7,12,10
2016-09-23 00:00:00,10,101,0,17,141
2016-09-23 00:20:00,11,82,4,12,93
2016-09-23 00:40:00,8,46,1,15,79
2016-09-23 01:00:00,9,6,0,16,6
2016-09-23 01:20:00,5,10,1,12,9
2016-09-23 01:40:00,7,8,0,19,4
2016-09-23 02:00:00,4,5,0,11,8
2016-09-23 02:20:00,5,7,0,14,3
2016-09-23 02:40:00,9,10,0,17,5
2016-09-23 03:00:00,8,12,0,14,9
2016-09-23 03:20:00,13,14,0,11,5
2016-09-23 03:40:00,10,15,0,12,9
2016-09-23 04:00:00,7,15,0,12,5
2016-09-23 04:20:00,11,23,0,11,3
2016-09-23 04:40:00,15,19,1,10,4
2016-09-23 05:00:00,6,34,8,9,8
2016-09-23 05:20:00,5,29,17,16,11
2016-09-23 05:40:00,7,38,26,25,22
2016-09-23 06:00:00,12,22,31,23,28
2016-09-23 06:20:00,17,63,32,60,41
2016-09-23 06:40:00,32,63,54,69,53
2016-09-23 07:00:00,28,86,82,118,66
2016-09-23 07:20:00,41,100,91,132,81
2016-09-23 07:40:00,42,93,103,152,105
2016-09-23 08:00:00,49,110,112,149,118
2016-09-23 08:20:00,68,127,106,132,135
2016-09-23 08:40:00,50,112,118,161,154
2016-09-23 09:00:00,41,129,92,176,134
2016-09-23 09:20:00,52,107,93,157,137
2016-09-23 09:40:00,44,105,76,137,96
2016-09-23 10:00:00,58,79,75,109,87
2016-09-23 10:20:00,53,65,80,106,89
2016-09-23 10:40:00,56,92,72,108,77
2016-09-23 11:00:00,56,88,52,87,94
2016-09-23 11:20:00,45,84,57,93,84
2016-09-23 11:40:00,41,92,53,83,88
2016-09-23 12:00:00,56,115,78,86,91
2016-09-23 12:20:00,51,97,77,124,79
2016-09-23 12:40:00,61,90,84,110,99
2016-09-23 13:00:00,57,107,78,117,101
2016-09-23 13:20:00,67,109,67,108,114
2016-09-23 13:40:00,45,127,83,134,118
2016-09-23 14:00:00,58,108,65,161,105
2016-09-23 14:20:00,53,115,81,132,129
2016-09-23 14:40:00,59,125,93,150,97
2016-09-23 15:00:00,47,98,98,164,98
2016-09-23 15:20:00,66,113,93,150,120
2016-09-23 15:40:00,78,114,82,182,107
2016-09-23 16:00:00,76,110,77,155,102
2016-09-23 16:20:00,86,112,100,137,119
2016-09-23 16:40:00,44,113,110,146,137
2016-09-23 17:00:00,45,113,95,130,86
2016-09-23 17:20:00,38,105,92,108,110
2016-09-23 17:40:00,46,141,95,137,121
2016-09-23 18:00:00,40,93,80,98,100
2016-09-23 18:20:00,45,96,71,129,95
2016-09-23 18:40:00,32,108,80,80,96
2016-09-23 19:00:00,29,53,63,63,58
2016-09-23 19:20:00,23,61,57,70,86
2016-09-23 19:40:00,32,56,62,50,55
2016-09-23 20:00:00,27,34,40,54,58
2016-09-23 20:20:00,25,36,31,42,49
2016-09-23 20:40:00,28,47,40,49,43
2016-09-23 21:00:00,15,36,25,45,46
2016-09-23 21:20:00,25,28,25,45,35
2016-09-23 21:40:00,21,46,27,45,27
2016-09-23 22:00:00,21,20,19,30,29
2016-09-23 22:20:00,9,31,30,28,17
2016-09-23 22:40:00,12,17,30,19,34
2016-09-23 23:00:00,4,12,11,15,12
2016-09-23 23:20:00,1,15,11,16,9
2016-09-23 23:40:00,6,20,9,13,11
2016-09-24 00:00:00,9,117,2,14,170
2016-09-24 00:20:00,12,118,1,14,106
2016-09-24 00:40:00,6,61,3,24,92
2016-09-24 01:00:00,14,10,1,19,6
2016-09-24 01:20:00,6,4,0,20,7
2016-09-24 01:40:00,10,8,2,12,13
2016-09-24 02:00:00,10,9,0,16,8
2016-09-24 02:20:00,4,8,0,16,1
2016-09-24 02:40:00,8,10,0,14,10
2016-09-24 03:00:00,11,6,0,11,7
2016-09-24 03:20:00,10,23,0,11,4
2016-09-24 03:40:00,14,15,0,16,8
2016-09-24 04:00:00,6,16,0,12,6
2016-09-24 04:20:00,11,16,0,14,2
2016-09-24 04:40:00,20,25,1,13,7
2016-09-24 05:00:00,4,29,14,8,8
2016-09-24 05:20:00,5,38,17,12,12
2016-09-24 05:40:00,9,30,16,34,14
2016-09-24 06:00:00,8,37,30,35,17
2016-09-24 06:20:00,19,58,31,52,44
2016-09-24 06:40:00,24,63,45,75,48
2016-09-24 07:00:00,28,74,46,83,73
2016-09-24 07:20:00,33,74,64,88,71
2016-09-24 07:40:00,35,106,82,104,95
2016-09-24 08:00:00,43,95,74,114,122
2016-09-24 08:20:00,64,101,86,121,113
2016-09-24 08:40:00,71,102,91,127,107
2016-09-24 09:00:00,52,82,94,117,115
2016-09-24 09:20:00,68,86,96,113,128
2016-09-24 09:40:00,66,78,100,134,124
2016-09-24 10:00:00,56,83,107,121,97
2016-09-24 10:20:00,70,86,85,119,99
2016-09-24 10:40:00,54,79,77,122,89
2016-09-24 11:00:00,54,75,89,115,87
2016-09-24 11:20:00,58,89,61,87,84
2016-09-24 11:40:00,47,91,61,104,90
2016-09-24 12:00:00,49,110,64,107,120
2016-09-24 12:20:00,31,107,76,104,72
2016-09-24 12:40:00,55,92,70,114,104
2016-09-24 13:00:00,41,90,67,122,113
2016-09-24 13:20:00,42,117,79,122,112
2016-09-24 13:40:00,64,104,83,120,108
2016-09-24 14:00:00,56,88,74,122,93
2016-09-24 14:20:00,55,87,87,116,101
2016-09-24 14:40:00,78,102,97,112,98
2016-09-24 15:00:00,55,95,80,153,104
2016-09-24 15:20:00,63,110,89,157,134
2016-09-24 15:40:00,66,104,94,110,105
2016-09-24 16:00:00,81,93,87,140,109
2016-09-24 16:20:00,59,84,83,135,107
2016-09-24 16:40:00,48,90,89,152,114
2016-09-24 17:00:00,73,94,71,167,87
2016-09-24 17:20:00,55,85,89,124,88
2016-09-24 17:40:00,32,105,85,102,87
2016-09-24 18:00:00,42,78,34,108,57
2016-09-24 18:20:00,35,75,0,108,77
2016-09-24 18:40:00,54,59,1,92,66
2016-09-24 19:00:00,32,50,0,68,53
2016-09-24 19:20:00,47,46,9,78,60
2016-09-24 19:40:00,21,51,34,59,50
2016-09-24 20:00:00,23,42,39,70,57
2016-09-24 20:20:00,28,30,35,43,62
2016-09-24 20:40:00,30,51,35,64,49
2016-09-24 21:00:00,23,26,27,56,39
2016-09-24 21:20:00,23,27,28,54,42
2016-09-24 21:40:00,16,33,17,43,35
2016-09-24 22:00:00,16,21,19,38,25
2016-09-24 22:20:00,13,20,20,34,27
2016-09-24 22:40:00,15,23,16,22,14
2016-09-24 23:00:00,6,17,10,38,24
2016-09-24 23:20:00,10,16,16,19,28
2016-09-24 23:40:00,4,12,7,18,14
2016-09-25 00:00:00,14,98,3,15,147
2016-09-25 00:20:00,8,52,0,18,111
2016-09-25 00:40:00,7,27,1,20,86
2016-09-25 01:00:00,8,14,0,18,7
2016-09-25 01:20:00,6,6,3,19,9
2016-09-25 01:40:00,2,10,2,11,7
2016-09-25 02:00:00,5,16,0,13,7
2016-09-25 02:20:00,10,6,0,19,4
2016-09-25 02:40:00,8,5,0,17,4
2016-09-25 03:00:00,5,10,0,18,3
2016-09-25 03:20:00,6,18,0,16,4
2016-09-25 03:40:00,11,16,0,8,5
2016-09-25 04:00:00,7,7,0,15,3
2016-09-25 04:20:00,7,16,0,6,4
2016-09-25 04:40:00,13,31,0,11,17
2016-09-25 05:00:00,9,35,9,11,10
2016-09-25 05:20:00,6,30,15,20,10
2016-09-25 05:40:00,8,33,16,21,17
2016-09-25 06:00:00,10,41,22,36,21
2016-09-25 06:20:00,12,47,23,43,28
2016-09-25 06:40:00,26,60,29,69,49
2016-09-25 07:00:00,20,65,30,71,50
2016-09-25 07:20:00,22,81,45,81,72
2016-09-25 07:40:00,33,65,62,88,112
2016-09-25 08:00:00,35,98,70,115,112
2016-09-25 08:20:00,40,96,75,88,111
2016-09-25 08:40:00,50,105,90,110,120
2016-09-25 09:00:00,41,108,64,92,108
2016-09-25 09:20:00,42,103,104,125,140
2016-09-25 09:40:00,49,95,93,110,102
2016-09-25 10:00:00,50,86,106,106,105
2016-09-25 10:20:00,47,103,99,116,104
2016-09-25 10:40:00,55,54,73,104,97
2016-09-25 11:00:00,55,70,81,108,104
2016-09-25 11:20:00,54,82,85,91,89
2016-09-25 11:40:00,29,65,63,82,86
2016-09-25 12:00:00,47,89,72,95,126
2016-09-25 12:20:00,58,96,65,110,98
2016-09-25 12:40:00,46,71,66,105,103
2016-09-25 13:00:00,57,92,64,101,131
2016-09-25 13:20:00,56,110,91,130,158
2016-09-25 13:40:00,60,105,83,137,131
2016-09-25 14:00:00,72,96,69,130,121
2016-09-25 14:20:00,59,100,84,151,138
2016-09-25 14:40:00,85,109,94,158,136
2016-09-25 15:00:00,65,86,94,122,122
2016-09-25 15:20:00,61,105,103,135,119
2016-09-25 15:40:00,52,113,75,130,107
2016-09-25 16:00:00,70,86,76,145,109
2016-09-25 16:20:00,63,108,92,134,100
2016-09-25 16:40:00,73,120,74,140,101
2016-09-25 17:00:00,63,105,84,119,118
2016-09-25 17:20:00,49,104,77,110,84
2016-09-25 17:40:00,42,84,56,105,82
2016-09-25 18:00:00,56,69,71,94,75
2016-09-25 18:20:00,38,61,66,85,88
2016-09-25 18:40:00,31,62,41,78,71
2016-09-25 19:00:00,37,51,43,76,66
2016-09-25 19:20:00,42,52,44,78,69
2016-09-25 19:40:00,28,62,39,53,73
2016-09-25 20:00:00,35,53,36,70,61
2016-09-25 20:20:00,28,49,31,57,62
2016-09-25 20:40:00,22,44,31,65,48
2016-09-25 21:00:00,23,33,29,46,30
2016-09-25 21:20:00,19,33,31,46,39
2016-09-25 21:40:00,18,33,21,33,27
2016-09-25 22:00:00,16,10,18,33,21
2016-09-25 22:20:00,17,17,18,30,19
2016-09-25 22:40:00,13,17,19,15,26
2016-09-25 23:00:00,10,17,19,22,10
2016-09-25 23:20:00,13,21,18,27,9
2016-09-25 23:40:00,9,15,12,18,13
2016-09-26 00:00:00,9,113,0,15,159
2016-09-26 00:20:00,6,47,1,16,88
2016-09-26 00:40:00,11,43,0,16,80
2016-09-26 01:00:00,2,3,0,21,9
2016-09-26 01:20:00,2,12,2,12,12
2016-09-26 01:40:00,7,7,0,11,10
2016-09-26 02:00:00,8,8,0,9,9
2016-09-26 02:20:00,9,4,0,12,4
2016-09-26 02:40:00,5,9,0,22,3
2016-09-26 03:00:00,9,11,0,11,4
2016-09-26 03:20:00,6,13,0,10,9
2016-09-26 03:40:00,8,16,0,17,6
2016-09-26 04:00:00,7,15,0,18,4
2016-09-26 04:20:00,13,21,0,16,5
2016-09-26 04:40:00,13,23,0,17,9
2016-09-26 05:00:00,6,21,11,9,12
2016-09-26 05:20:00,4,37,13,16,9
2016-09-26 05:40:00,10,42,27,26,14
2016-09-26 06:00:00,13,31,25,42,22
2016-09-26 06:20:00,23,61,40,67,49
2016-09-26 06:40:00,39,66,73,92,66
2016-09-26 07:00:00,44,91,88,159,83
2016-09-26 07:20:00,39,120,114,162,87
2016-09-26 07:40:00,46,116,126,151,137
2016-09-26 08:00:00,49,125,117,180,138
2016-09-26 08:20:00,52,91,130,172,164
2016-09-26 08:40:00,45,116,121,170,150
2016-09-26 09:00:00,48,120,126,136,145
2016-09-26 09:20:00,52,130,120,148,113
2016-09-26 09:40:00,51,102,81,117,104
2016-09-26 10:00:00,47,89,78,112,85
2016-09-26 10:20:00,52,105,57,105,88
2016-09-26 10:40:00,36,82,58,100,93
2016-09-26 11:00:00,36,78,65,103,60
2016-09-26 11:20:00,35,81,47,74,76
2016-09-26 11:40:00,52,72,62,112,54
2016-09-26 12:00:00,48,71,63,66,79
2016-09-26 12:20:00,37,89,71,82,82
2016-09-26 12:40:00,48,82,72,95,84
2016-09-26 13:00:00,54,87,61,98,87
2016-09-26 13:20:00,49,92,51,117,77
2016-09-26 13:40:00,49,93,64,111,89
2016-09-26 14:00:00,44,92,52,104,110
2016-09-26 14:20:00,29,108,90,146,98
2016-09-26 14:40:00,63,87,77,117,77
2016-09-26 15:00:00,33,92,76,97,102
2016-09-26 15:20:00,51,108,71,116,77
2016-09-26 15:40:00,43,83,72,98,93
2016-09-26 16:00:00,44,106,64,118,82
2016-09-26 16:20:00,56,112,75,121,89
2016-09-26 16:40:00,46,103,73,136,78
2016-09-26 17:00:00,47,106,71,120,85
2016-09-26 17:20:00,42,112,67,106,90
2016-09-26 17:40:00,30,102,63,101,82
2016-09-26 18:00:00,33,74,63,95,91
2016-09-26 18:20:00,22,85,52,88,55
2016-09-26 18:40:00,29,54,48,62,70
2016-09-26 19:00:00,31,50,35,64,59
2016-09-26 19:20:00,15,55,37,49,57
2016-09-26 19:40:00,22,47,32,48,52
2016-09-26 20:00:00,19,33,35,49,44
2016-09-26 20:20:00,19,38,35,40,58
2016-09-26 20:40:00,24,32,44,49,33
2016-09-26 21:00:00,14,33,28,46,27
2016-09-26 21:20:00,19,32,26,38,40
2016-09-26 21:40:00,10,26,23,42,28
2016-09-26 22:00:00,10,9,27,30,19
2016-09-26 22:20:00,12,28,18,26,27
2016-09-26 22:40:00,5,14,17,15,29
2016-09-26 23:00:00,3,16,11,17,14
2016-09-26 23:20:00,6,14,1,19,12
2016-09-26 23:40:00,4,20,12,14,8
2016-09-27 00:00:00,12,128,1,14,123
2016-09-27 00:20:00,20,78,1,17,87
2016-09-27 00:40:00,8,40,1,14,59
2016-09-27 01:00:00,5,6,1,23,12
2016-09-27 01:20:00,8,9,1,20,7
2016-09-27 01:40:00,6,10,3,12,5
2016-09-27 02:00:00,7,12,0,11,4
2016-09-27 02:20:00,5,10,0,11,3
2016-09-27 02:40:00,8,8,0,14,4
2016-09-27 03:00:00,9,10,0,12,5
2016-09-27 03:20:00,7,9,0,12,1
2016-09-27 03:40:00,6,12,0,12,4
2016-09-27 04:00:00,16,19,0,12,6
2016-09-27 04:20:00,11,22,0,16,1
2016-09-27 04:40:00,16,19,0,21,8
2016-09-27 05:00:00,6,26,18,14,14
2016-09-27 05:20:00,4,29,17,9,8
2016-09-27 05:40:00,10,34,19,19,22
2016-09-27 06:00:00,12,45,28,33,25
2016-09-27 06:20:00,20,63,31,41,42
2016-09-27 06:40:00,35,79,43,71,53
2016-09-27 07:00:00,56,74,51,113,71
2016-09-27 07:20:00,50,98,89,139,73
2016-09-27 07:40:00,41,113,104,142,97
2016-09-27 08:00:00,60,118,128,188,96
2016-09-27 08:20:00,45,116,117,137,118
2016-09-27 08:40:00,64,125,131,189,144
2016-09-27 09:00:00,58,129,111,150,117
2016-09-27 09:20:00,65,97,90,127,109
2016-09-27 09:40:00,45,73,94,123,94
