window_start,A-2,A-3,B-1,B-3,C-1,C-3
2016-07-19 11:20:00,45.9425,82.0833,0,84.3625,195.1600,0
2016-07-19 11:40:00,47.9757,86.6800,0,96.5400,182.4600,0
2016-07-19 12:00:00,60.1682,108.7350,145.2900,144.8700,0,0
2016-07-19 12:20:00,49.5275,95.4300,71.3650,136.3600,195.2800,0
2016-07-19 12:40:00,52.1738,96.3814,23.1900,129.5033,161.5900,225.1000
2016-07-19 13:00:00,57.8292,99.2900,0,116.4700,121.3200,0
2016-07-19 13:20:00,57.0911,93.2329,140.6500,119.3683,172.1600,180.0900
2016-07-19 13:40:00,61.1264,102.9171,99.6133,176.6500,117.0300,0
2016-07-19 14:00:00,65.1145,96.9180,179.9767,159.4650,0,174.8350
2016-07-19 14:20:00,74.7067,101.4112,160.7850,129.4783,156.0800,191.5717
2016-07-19 14:40:00,63.8256,100.7433,67.3000,120.2410,0,222.4400
2016-07-19 15:00:00,79.4208,106.7600,0,115.2914,144.5300,156.1000
2016-07-19 15:20:00,72.3140,102.5125,163.8100,129.4725,257.2000,185.5067
2016-07-19 15:40:00,58.7410,112.3220,90.0100,120.7567,0,0
2016-07-19 16:00:00,59.6375,126.6111,0,116.0687,144.6975,183.0700
2016-07-19 16:20:00,51.9700,95.4525,105.6400,152.4983,176.5380,249.1833
2016-07-19 16:40:00,61.6009,116.1375,122.3100,101.6633,150.5600,95.5000
2016-07-19 17:00:00,105.3917,182.4560,0,139.3625,173.7800,100.0900
2016-07-19 17:20:00,83.8286,114.1033,0,103.6650,192.5000,172.7800
2016-07-19 17:40:00,65.6750,102.4675,0,109.3000,141.0400,203.7700
2016-07-19 18:00:00,85.1133,99.1450,0,108.3000,202.2100,134.4300
2016-07-19 18:20:00,50.5667,109.1240,382.0300,91.9350,360.5633,254.0133
2016-07-19 18:40:00,65.0738,132.7300,0,106.9180,168.3600,176.9600
2016-07-19 19:00:00,67.3263,108.4200,295.3100,0,227.4600,208.1200
2016-07-19 19:20:00,79.8540,121.2720,0,115.9883,0,219.3850
2016-07-19 19:40:00,89.6444,128.9157,115.0000,209.4900,0,0
2016-07-19 20:00:00,87.9420,113.0200,128.6500,112.2550,164.9100,0
2016-07-19 20:20:00,44.0900,105.5500,0,0,0,265.6450
2016-07-19 20:40:00,64.1637,106.3300,0,96.8250,0,0
2016-07-19 21:00:00,68.4775,115.5867,134.4600,0,0,184.9600
2016-07-19 21:20:00,59.0945,106.1950,155.6300,133.0250,0,0
2016-07-19 21:40:00,51.1820,0,129.9300,96.9567,0,185.6200
2016-07-19 22:00:00,46.0933,141.2500,0,149.3150,0,0
2016-07-19 22:20:00,91.8500,87.9133,0,100.5500,0,0
2016-07-19 22:40:00,47.0200,0,0,0,283.5100,0
2016-07-19 23:00:00,54.5933,0,0,97.0700,0,0
2016-07-19 23:20:00,84.3675,0,0,0,0,285.8200
2016-07-19 23:40:00,67.9600,85.0800,0,121.1100,0,0
2016-07-20 00:00:00,0,81.0500,0,0,0,0
2016-07-20 00:20:00,37.8900,62.6500,0,0,0,0
2016-07-20 00:40:00,83.6600,0,0,0,0,0
2016-07-20 01:00:00,57.6400,0,0,93.1750,0,0
2016-07-20 01:20:00,58.6200,93.1700,0,0,135.0200,0
2016-07-20 01:40:00,40.7550,107.0750,0,33.2500,0,0
2016-07-20 02:00:00,49.1200,0,0,0,0,0
2016-07-20 02:20:00,18.6800,82.0900,0,127.4800,0,0
2016-07-20 02:40:00,33.8900,0,88.4500,157.1300,0,0
2016-07-20 03:00:00,60.6700,0,0,125.7500,185.4600,0
2016-07-20 03:20:00,18.5900,99.8700,0,104.7100,0,0
2016-07-20 03:40:00,100.7100,0,0,148.1400,0,0
2016-07-20 04:00:00,105.6525,144.0600,0,113.7150,0,0
2016-07-20 04:20:00,64.3200,77.2400,0,129.6300,0,0
2016-07-20 04:40:00,49.4000,0,0,59.8800,0,164.8800
2016-07-20 05:00:00,49.7633,0,0,0,0,0
2016-07-20 05:20:00,57.6700,99.3200,0,0,0,0
2016-07-20 05:40:00,46.1986,151.5500,0,0,0,125.3200
2016-07-20 06:00:00,44.0950,97.4800,122.6800,112.3550,0,0
2016-07-20 06:20:00,59.8744,0,67.3550,386.4400,0,0
2016-07-20 06:40:00,88.8150,81.8500,179.5067,130.5900,0,0
2016-07-20 07:00:00,77.8478,142.0600,137.8250,122.3500,280.7100,223.9700
2016-07-20 07:20:00,94.9192,138.4100,98.2000,133.2050,0,424.7900
2016-07-20 07:40:00,73.6773,128.1333,94.1100,137.9767,130.5600,175.0900
2016-07-20 08:00:00,61.0070,140.3571,212.3100,182.6567,237.4000,155.1600
2016-07-20 08:20:00,332.1620,192.6811,0,127.6833,305.5100,273.1400
2016-07-20 08:40:00,50.9950,276.9775,0,134.4238,152.8600,229.1500
2016-07-20 09:00:00,44.9350,242.8550,151.4400,114.7400,276.1267,0
2016-07-20 09:20:00,0,269.8291,115.1100,142.0600,199.8700,0
2016-07-20 09:40:00,23.2950,250.8100,155.4050,170.1100,171.9600,102.4300
2016-07-20 10:00:00,341.7875,175.9400,107.3500,0,228.7400,221.4200
2016-07-20 10:20:00,70.1445,118.9175,0,146.5167,0,0
2016-07-20 10:40:00,90.1713,127.8800,0,119.2500,168.8600,150.6050
2016-07-20 11:00:00,49.4500,89.5250,102.9200,126.2650,122.6300,248.6200
2016-07-20 11:20:00,46.6370,143.1150,0,157.7033,117.6650,202.9300
2016-07-20 11:40:00,60.4775,107.6560,98.2000,80.5233,0,111.2400
2016-07-20 12:00:00,53.9857,105.1575,0,111.7917,187.5300,0
2016-07-20 12:20:00,49.5525,109.5700,91.3100,47.2667,161.4400,196.6300
2016-07-20 12:40:00,55.2754,129.9250,0,82.8220,158.8200,0
2016-07-20 13:00:00,81.4869,97.9600,162.3533,116.9975,0,226.9475
2016-07-20 13:20:00,50.8164,128.0667,0,65.4475,147.5900,0
2016-07-20 13:40:00,73.4960,99.3540,231.9100,127.0967,154.8900,164.0100
2016-07-20 14:00:00,66.6443,115.7288,155.3300,95.3633,0,203.2000
2016-07-20 14:20:00,57.3307,0,159.8900,0,105.8000,186.6450
2016-07-20 14:40:00,53.5663,141.3650,215.2200,128.7800,211.5333,246.2000
2016-07-20 15:00:00,62.1800,129.4575,146.8000,54.2250,179.2100,0
2016-07-20 15:20:00,64.3322,77.2725,0,134.6500,166.1100,203.7500
2016-07-20 15:40:00,70.3331,116.6067,0,174.7500,215.7400,0
2016-07-20 16:00:00,67.1100,87.6775,144.8300,130.6850,105.2000,159.4700
2016-07-20 16:20:00,82.7931,126.2575,0,98.2800,215.6100,313.9300
2016-07-20 16:40:00,52.8714,124.9200,0,98.7340,124.9700,168.6900
2016-07-20 17:00:00,50.1650,108.0829,0,114.9400,248.1500,179.4500
2016-07-20 17:20:00,81.3480,168.5667,0,131.3614,125.5250,148.8350
2016-07-20 17:40:00,75.4756,123.7900,0,134.2433,175.4400,214.3600
2016-07-20 18:00:00,67.8875,114.2967,0,101.5540,213.8350,200.7775
2016-07-20 18:20:00,85.1050,102.6900,0,113.7675,0,137.7000
2016-07-20 18:40:00,78.3326,202.5400,0,89.6680,154.7200,147.8400
2016-07-20 19:00:00,93.4892,140.0460,0,114.5317,165.5600,0
2016-07-20 19:20:00,56.4400,149.0250,0,90.7950,257.7700,131.4250
2016-07-20 19:40:00,52.1000,137.1071,0,103.4300,263.1000,234.9000
2016-07-20 20:00:00,57.6071,116.0875,115.9300,91.3340,205.5900,0
2016-07-20 20:20:00,52.5817,113.4340,0,156.4450,0,0
2016-07-20 20:40:00,123.6486,115.2575,107.4900,78.3550,0,281.1300
2016-07-20 21:00:00,80.3800,427.9200,0,85.8800,0,262.9800
2016-07-20 21:20:00,50.8367,102.5662,0,0,205.6800,0
2016-07-20 21:40:00,68.6783,110.2100,0,111.4700,162.6000,158.1700
2016-07-20 22:00:00,55.4450,108.7050,121.7800,91.5150,150.1800,185.8900
2016-07-20 22:20:00,44.9380,88.0300,0,0,0,0
2016-07-20 22:40:00,66.2425,145.5200,0,0,0,0
2016-07-20 23:00:00,49.7525,0,0,137.8600,177.9600,0
2016-07-20 23:20:00,55.1540,98.7800,0,0,167.2400,0
2016-07-20 23:40:00,56.6700,80.5700,0,112.8860,0,0
2016-07-21 00:00:00,39.2100,82.9800,0,85.0050,0,0
2016-07-21 00:20:00,0,95.1500,0,0,0,160.8367
2016-07-21 01:00:00,56.2675,0,0,0,0,0
2016-07-21 01:20:00,41.4700,0,0,65.7850,0,0
2016-07-21 01:40:00,80.2500,0,0,0,0,0
2016-07-21 02:00:00,45.1867,0,0,0,0,0
2016-07-21 02:20:00,28.5900,0,0,0,146.2750,0
2016-07-21 02:40:00,54.0850,0,0,0,0,0
2016-07-21 03:00:00,47.2100,0,0,0,195.2800,0
2016-07-21 03:20:00,50.2500,75.5400,0,0,0,0
2016-07-21 03:40:00,83.4767,0,0,0,0,0
2016-07-21 04:00:00,0,90.6850,0,0,0,0
2016-07-21 04:20:00,49.8867,0,93.6100,393.0500,0,0
2016-07-21 04:40:00,61.7120,0,0,0,0,0
2016-07-21 05:00:00,48.0650,0,0,0,0,0
2016-07-21 05:20:00,39.5000,88.4000,0,0,0,0
2016-07-21 05:40:00,56.6925,133.4500,0,0,0,0
2016-07-21 06:00:00,63.1767,0,0,166.8050,218.3500,0
2016-07-21 06:20:00,87.0300,94.8200,0,136.6700,0,181.1300
2016-07-21 06:40:00,65.3367,73.1850,170.2150,55.9200,0,0
2016-07-21 07:00:00,78.0120,186.2620,0,206.5900,137.2767,0
2016-07-21 07:20:00,109.7293,252.8550,0,113.7833,0,0
2016-07-21 07:40:00,114.7200,189.6050,99.6267,146.5800,0,0
2016-07-21 08:00:00,116.0736,160.0800,151.0233,107.1150,0,0
2016-07-21 08:20:00,125.1050,151.0967,108.8700,0,146.0700,166.1500
2016-07-21 08:40:00,88.4168,194.5800,0,0,0,0
2016-07-21 09:00:00,71.4722,0,173.3650,0,185.8500,0
2016-07-21 09:20:00,116.5833,0,125.4367,0,180.0617,0
2016-07-21 09:40:00,88.6557,0,162.5650,0,168.4000,0
2016-07-21 10:00:00,68.4991,0,151.1500,0,131.0367,0
2016-07-21 10:20:00,64.0620,0,0,0,150.5400,0
2016-07-21 10:40:00,83.4689,156.8350,114.9400,180.2650,206.7100,199.0433
2016-07-21 11:00:00,64.0867,124.1614,102.5650,54.8033,161.0700,165.8233
2016-07-21 11:20:00,84.8550,101.4300,70.3400,108.5200,175.7217,207.9200
2016-07-21 11:40:00,58.8383,79.9800,89.6650,168.3700,147.7300,0
2016-07-21 12:00:00,61.1700,272.0250,21.7900,61.4700,182.6050,198.4733
2016-07-21 12:20:00,69.7946,0,0,132.2440,143.3440,127.5400
2016-07-21 12:40:00,76.7707,106.9137,132.3633,113.7367,0,142.8500
2016-07-21 13:00:00,79.4618,140.1586,89.6500,56.7300,136.4150,158.1150
2016-07-21 13:20:00,58.1336,104.6900,95.0950,144.3300,185.2300,218.8400
2016-07-21 13:40:00,68.5650,122.2537,0,99.3940,179.4000,104.3000
2016-07-21 14:00:00,60.0629,112.8620,0,103.3060,188.7850,0
2016-07-21 14:20:00,60.1886,99.6814,0,51.8350,133.4300,151.0200
2016-07-21 14:40:00,66.7471,87.1620,123.6300,111.7625,163.3350,181.4100
2016-07-21 15:00:00,51.3175,91.8750,32.6300,114.7700,211.8100,186.6750
2016-07-21 15:20:00,60.3183,95.7875,79.7000,116.4900,263.9100,229.4550
2016-07-21 15:40:00,60.8971,97.7967,0,75.8167,170.9267,167.6433
2016-07-21 16:00:00,62.1770,107.8475,88.6800,97.6700,196.8300,277.4600
2016-07-21 16:20:00,89.1158,140.4767,0,140.7000,239.1900,0
2016-07-21 16:40:00,74.3765,86.1100,50.9600,115.4760,116.1600,0
2016-07-21 17:00:00,58.4625,128.3825,0,0,0,191.9800
2016-07-21 17:20:00,103.0738,113.5775,0,125.5200,311.2800,0
2016-07-21 17:40:00,90.9633,101.2233,113.7450,110.9450,237.0900,196.0050
2016-07-21 18:00:00,63.4100,110.3775,0,95.1600,0,235.1867
2016-07-21 18:20:00,59.0808,104.7800,0,131.4367,224.4150,158.7950
2016-07-21 18:40:00,86.5271,120.0500,0,169.7900,0,190.6100
2016-07-21 19:00:00,48.8340,107.2200,0,105.5680,127.8100,194.3100
2016-07-21 19:20:00,65.3467,114.0950,0,96.1700,0,0
2016-07-21 19:40:00,73.5640,220.1000,0,119.5800,0,216.0400
2016-07-21 20:00:00,59.4977,121.5950,102.3800,101.7650,0,0
2016-07-21 20:20:00,60.8040,112.2050,0,117.6540,0,0
2016-07-21 20:40:00,53.9467,86.7300,0,124.2033,0,0
2016-07-21 21:00:00,62.5767,75.7100,0,93.8950,187.4800,146.2700
2016-07-21 21:20:00,51.8725,92.6700,146.7750,93.9800,0,0
2016-07-21 21:40:00,53.8070,111.5400,0,0,0,0
2016-07-21 22:00:00,53.0260,130.0000,123.5700,105.9000,157.1600,0
2016-07-21 22:20:00,59.7767,86.4800,135.2500,118.7267,213.4600,0
2016-07-21 22:40:00,49.0017,97.7800,0,0,0,0
2016-07-21 23:00:00,39.1475,156.8900,0,127.5067,0,140.7900
2016-07-21 23:20:00,64.9550,0,68.2300,86.5900,0,0
2016-07-21 23:40:00,122.8350,0,88.4050,142.1625,0,0
2016-07-22 00:00:00,51.2860,88.2000,0,0,0,133.7350
2016-07-22 00:20:00,43.0560,71.1800,0,0,0,249.3000
2016-07-22 00:40:00,62.3920,0,0,0,142.6700,0
2016-07-22 01:00:00,52.1000,0,0,165.6600,0,333.6700
2016-07-22 01:20:00,45.7100,96.0900,0,0,0,0
2016-07-22 01:40:00,52.6200,174.5000,0,0,0,0
2016-07-22 02:20:00,40.0000,0,0,0,181.9300,0
2016-07-22 02:40:00,0,93.8500,0,0,0,0
2016-07-22 03:00:00,83.0700,0,0,12.7500,0,0
2016-07-22 03:20:00,65.6900,82.5200,0,0,0,0
2016-07-22 03:40:00,37.8550,0,0,0,0,0
2016-07-22 04:00:00,67.9400,0,0,0,0,0
2016-07-22 04:20:00,52.2500,0,0,0,0,0
2016-07-22 04:40:00,55.2643,82.9400,0,195.4650,153.9600,223.0500
2016-07-22 05:00:00,45.6250,86.5250,0,96.2300,123.6800,0
2016-07-22 05:20:00,60.4975,100.4600,0,154.3000,0,0
2016-07-22 05:40:00,60.6260,0,0,195.8100,0,0
2016-07-22 06:00:00,65.3633,71.7800,0,189.3300,146.9100,0
2016-07-22 06:20:00,57.0387,103.1233,64.1700,75.9400,0,0
2016-07-22 06:40:00,63.9714,160.9900,123.5067,72.4750,171.5800,0
2016-07-22 07:00:00,132.2189,106.9100,50.6200,90.7867,0,172.4400
2016-07-22 07:20:00,100.3918,137.2080,222.1500,88.8650,0,259.9800
2016-07-22 07:40:00,65.3489,166.4650,124.8400,180.5900,133.5950,179.7150
2016-07-22 08:00:00,75.5325,133.4100,0,126.7267,158.3250,0
2016-07-22 08:20:00,77.4300,150.2233,0,217.6000,222.6167,0
2016-07-22 08:40:00,70.9375,135.2800,0,121.9250,190.7800,0
2016-07-22 09:00:00,69.4211,121.0086,92.8233,161.5633,153.1950,0
2016-07-22 09:20:00,78.8089,132.8700,78.8100,113.6200,125.6400,271.9300
2016-07-22 09:40:00,61.7327,109.1200,131.8900,137.2233,132.5200,266.3100
2016-07-22 10:00:00,81.7545,93.6800,0,133.7775,118.9900,0
2016-07-22 10:20:00,108.1794,164.1033,73.3350,0,0,168.9500
2016-07-22 10:40:00,110.3400,110.7100,53.7367,215.2050,174.7750,189.0500
2016-07-22 11:00:00,53.5667,118.6460,107.0300,112.0850,139.0200,229.4900
2016-07-22 11:20:00,50.3556,87.2000,51.7500,99.1880,185.1775,141.2200
2016-07-22 11:40:00,50.4108,121.4100,0,81.4775,0,0
2016-07-22 12:00:00,101.7592,0,81.1200,124.9300,213.2900,0
2016-07-22 12:20:00,55.9533,89.8100,66.6450,82.8250,169.5750,125.7100
2016-07-22 12:40:00,60.7629,123.3950,162.4300,200.4750,153.6950,211.9900
2016-07-22 13:00:00,54.9220,92.7840,0,101.8200,144.4400,150.0700
2016-07-22 13:20:00,66.9424,110.6867,151.0400,69.6325,209.2800,0
2016-07-22 13:40:00,71.5925,89.2313,123.7200,88.7900,177.7450,102.9700
2016-07-22 14:00:00,63.8350,98.0100,192.3400,117.0450,127.9100,221.4650
2016-07-22 14:20:00,90.9644,132.4400,117.9000,90.7050,128.6700,200.9200
2016-07-22 14:40:00,104.9365,110.8867,181.2000,128.2900,233.6550,159.2100
2016-07-22 15:00:00,60.3242,107.5809,142.5467,129.1100,204.3900,0
2016-07-22 15:20:00,102.2492,108.7250,117.9467,101.9800,132.9300,211.0300
2016-07-22 15:40:00,58.8042,102.0475,0,101.5643,221.9300,0
2016-07-22 16:00:00,57.3871,120.4150,0,130.6000,206.4600,0
2016-07-22 16:20:00,86.5322,131.7156,77.0200,113.6500,171.7200,0
2016-07-22 16:40:00,70.0388,133.6825,98.1100,84.4857,0,147.8400
2016-07-22 17:00:00,75.9893,117.1325,29.7100,115.1850,74.6800,215.8200
2016-07-22 17:20:00,94.2235,132.7500,0,136.9875,209.6400,0
2016-07-22 17:40:00,121.9065,105.0186,83.0200,191.5133,171.0700,120.4050
2016-07-22 18:00:00,69.6400,153.1275,124.9650,105.5417,196.3050,161.5000
2016-07-22 18:20:00,98.9315,116.8812,0,82.4229,0,113.8000
2016-07-22 18:40:00,64.4182,111.7333,0,91.9563,239.9800,0
2016-07-22 19:00:00,77.2087,106.9633,0,111.7833,218.1467,184.2900
2016-07-22 19:20:00,85.4108,127.7450,0,113.5900,0,239.1900
2016-07-22 19:40:00,69.5156,155.7580,0,125.7150,0,255.3900
2016-07-22 20:00:00,86.2050,166.2100,440.7300,137.0650,369.4400,0
2016-07-22 20:20:00,111.4430,125.7875,0,143.2500,207.0400,0
2016-07-22 20:40:00,55.6187,107.3600,0,109.6900,0,261.4167
2016-07-22 21:00:00,81.3300,105.8420,99.7400,83.7000,212.1150,0
2016-07-22 21:20:00,93.7345,104.3275,0,0,241.5850,145.9300
2016-07-22 21:40:00,36.0800,111.2900,0,141.5250,0,164.9550
2016-07-22 22:00:00,45.0700,0,0,118.1650,206.4200,0
2016-07-22 22:20:00,53.5600,124.6900,123.9550,66.3400,233.6400,0
2016-07-22 22:40:00,43.6225,81.5300,128.7100,118.9300,0,0
2016-07-22 23:00:00,69.6367,0,0,62.5100,275.6800,0
2016-07-22 23:20:00,117.5800,94.1025,0,154.5600,0,0
2016-07-22 23:40:00,0,0,0,136.2300,0,0
2016-07-23 00:00:00,0,245.1400,0,0,0,192.9200
2016-07-23 00:20:00,0,110.4400,0,141.8150,0,0
2016-07-23 00:40:00,0,0,0,129.4740,0,0
2016-07-23 01:20:00,0,0,0,175.4500,0,0
2016-07-23 01:40:00,0,133.8000,0,129.4150,0,0
2016-07-23 02:20:00,0,121.9500,0,0,0,0
2016-07-23 02:40:00,0,0,0,140.7700,0,0
2016-07-23 03:00:00,0,103.9300,0,0,0,0
2016-07-23 03:20:00,0,86.2300,0,0,0,0
2016-07-23 03:40:00,0,260.8967,0,115.5750,0,0
2016-07-23 04:00:00,0,84.4200,0,0,0,171.1900
2016-07-23 04:20:00,0,281.8800,0,0,0,0
2016-07-23 04:40:00,0,108.9450,0,133.7850,0,94.0900
2016-07-23 05:00:00,0,105.1800,0,0,0,0
2016-07-23 05:20:00,0,144.1867,0,162.5200,0,0
2016-07-23 05:40:00,0,0,0,0,0,196.1900
2016-07-23 06:00:00,329.7258,111.2067,0,46.6600,357.2550,0
2016-07-23 06:20:00,80.1300,114.9600,116.9200,95.3700,115.3800,207.7300
2016-07-23 06:40:00,82.5573,172.3000,0,161.2000,140.8800,258.0400
2016-07-23 07:00:00,87.6267,173.1138,62.9600,130.1475,160.5500,171.9450
2016-07-23 07:20:00,86.3267,116.8067,0,63.1767,0,0
2016-07-23 07:40:00,96.3118,124.5250,137.4800,100.5880,0,143.6150
2016-07-23 08:00:00,60.6488,111.7360,75.1100,157.7833,212.6000,109.6200
2016-07-23 08:20:00,89.3808,116.5800,96.0200,60.5000,202.1367,171.8400
2016-07-23 08:40:00,115.8836,97.3557,184.7200,92.4850,0,203.9000
2016-07-23 09:00:00,109.4300,92.8950,124.4600,153.1650,223.5875,213.7400
2016-07-23 09:20:00,187.8906,100.8643,151.8700,144.0940,216.4060,229.8750
2016-07-23 09:40:00,151.7465,123.6350,0,0,0,0
2016-07-23 10:00:00,130.7459,100.3750,174.2700,125.1311,244.1800,198.7300
2016-07-23 10:20:00,90.0378,119.9440,0,141.2200,0,185.9500
2016-07-23 10:40:00,0,138.8290,116.7400,132.7367,193.6200,242.7800
2016-07-23 11:00:00,24.9600,137.9450,0,151.0580,194.6100,0
2016-07-23 11:20:00,126.9471,189.1550,0,94.5600,0,212.6650
2016-07-23 11:40:00,88.5389,105.0967,0,111.9133,0,126.0400
2016-07-23 12:00:00,72.5992,104.3967,98.9300,101.0333,198.2375,0
2016-07-23 12:20:00,57.4800,102.5833,88.4200,79.6767,185.1867,0
2016-07-23 12:40:00,73.8773,89.5800,20.5400,98.1567,166.6350,264.2400
2016-07-23 13:00:00,52.0945,120.9575,150.0700,139.5400,0,508.6200
2016-07-23 13:20:00,61.5805,92.9580,185.1900,101.4275,254.5050,190.1200
2016-07-23 13:40:00,88.8800,96.6317,95.7600,123.3050,150.6450,174.1600
2016-07-23 14:00:00,54.9000,121.5729,182.4200,112.9575,0,178.7900
2016-07-23 14:20:00,73.2464,113.0533,179.2000,137.4700,129.8900,202.0067
2016-07-23 14:40:00,112.2286,102.2860,0,139.2550,111.7500,0
2016-07-23 15:00:00,184.0671,93.5000,0,106.7867,368.8950,200.0600
2016-07-23 15:20:00,56.2453,104.8117,97.2300,135.7900,217.1550,0
2016-07-23 15:40:00,56.1229,105.6380,146.1700,116.8683,171.1333,211.4900
2016-07-23 16:00:00,64.4800,105.1817,0,150.8475,112.3200,173.1450
2016-07-23 16:20:00,104.2047,96.9900,96.3150,145.7433,176.3967,236.7467
2016-07-23 16:40:00,127.5150,142.4330,0,120.6200,163.9200,182.5700
2016-07-23 17:00:00,65.6378,120.1200,0,116.1633,0,157.2300
2016-07-23 17:20:00,91.2189,167.7825,94.3500,122.1600,210.0300,128.7600
2016-07-23 17:40:00,62.9617,133.9725,117.8500,124.9400,233.2925,196.9500
2016-07-23 18:00:00,49.8500,98.0275,152.0900,140.6350,199.6550,182.5433
2016-07-23 18:20:00,94.1211,121.8617,0,63.3500,0,157.8700
2016-07-23 18:40:00,73.5211,123.0778,110.6300,126.8100,170.8800,0
2016-07-23 19:00:00,68.4925,140.0970,128.5100,103.2100,0,0
2016-07-23 19:20:00,52.1163,123.0700,0,78.7600,160.4600,0
2016-07-23 19:40:00,86.3075,114.5967,0,189.5960,0,196.6500
2016-07-23 20:00:00,53.4564,124.9400,0,199.5600,0,0
2016-07-23 20:20:00,65.2570,91.5433,0,140.2167,0,233.4300
2016-07-23 20:40:00,65.1209,99.3880,161.0150,89.3100,264.2500,0
2016-07-23 21:00:00,66.1750,122.3686,165.7700,110.1480,185.1700,218.4700
2016-07-23 21:20:00,69.4150,142.8600,76.7500,102.5322,0,0
2016-07-23 21:40:00,53.9420,163.0875,0,142.9800,0,167.0200
2016-07-23 22:00:00,117.3700,83.5150,0,95.5125,0,0
2016-07-23 22:20:00,45.9167,68.3600,0,125.8367,0,0
2016-07-23 22:40:00,80.6300,76.8900,0,99.1600,304.5400,0
2016-07-23 23:00:00,63.0133,156.2600,0,107.8438,0,182.8700
2016-07-23 23:20:00,53.1500,0,0,137.8675,0,0
2016-07-23 23:40:00,45.4040,102.5250,0,143.3833,156.3200,216.8600
2016-07-24 00:00:00,62.0240,85.4000,126.0000,120.7878,0,0
2016-07-24 00:20:00,98.7350,0,0,0,0,0
2016-07-24 00:40:00,48.3733,80.8800,0,70.1550,0,0
2016-07-24 01:00:00,0,0,212.5500,153.0933,0,0
2016-07-24 01:20:00,43.2600,102.1867,0,175.4100,0,222.5300
2016-07-24 01:40:00,54.0400,86.4450,0,94.3900,0,0
2016-07-24 02:00:00,37.8700,0,0,0,0,0
2016-07-24 02:20:00,24.6250,77.3400,0,72.4233,0,0
2016-07-24 02:40:00,78.1950,0,0,123.9500,0,0
2016-07-24 03:00:00,48.2500,106.9450,0,87.8767,0,0
2016-07-24 03:20:00,0,122.4600,0,107.0160,0,0
2016-07-24 03:40:00,29.4675,78.6600,0,105.5100,0,0
2016-07-24 04:00:00,0,115.9600,0,110.3200,0,0
2016-07-24 04:20:00,54.1400,72.4500,0,124.1400,0,0
2016-07-24 04:40:00,75.6760,74.7200,98.7100,107.5300,0,0
2016-07-24 05:00:00,47.4560,0,0,121.8300,0,0
2016-07-24 05:20:00,42.9450,0,75.1600,0,186.7700,0
2016-07-24 05:40:00,44.5020,97.5650,0,0,0,0
2016-07-24 06:00:00,36.1700,97.8250,165.4100,62.8900,158.4900,0
2016-07-24 06:20:00,63.1767,107.2567,84.8500,102.0100,126.9800,0
2016-07-24 06:40:00,60.7600,192.8300,0,144.5850,154.9300,0
2016-07-24 07:00:00,106.3900,77.0633,73.2400,70.0500,123.4400,39.3500
2016-07-24 07:20:00,70.0000,94.0550,0,106.5733,219.5000,172.6233
2016-07-24 07:40:00,63.7987,83.2300,0,115.1786,0,0
